CMDLINE /Users/TRD/.local/share/virtualenvs/Quant_Mo-GcxK2o1i/bin/python3.7 numpy_testing.py 11520
MEM 0.238281 1533433599.2492
MEM 11.253906 1533433599.3544
MEM 21.277344 1533433599.4560
MEM 43.339844 1533433599.5561
MEM 84.253906 1533433599.6613
MEM 121.835938 1533433599.7614
MEM 160.718750 1533433599.8623
MEM 200.292969 1533433599.9641
MEM 240.562500 1533433600.0683
MEM 279.457031 1533433600.1707
MEM 316.921875 1533433600.2712
MEM 355.304688 1533433600.3714
MEM 393.273438 1533433600.4716
MEM 431.593750 1533433600.5717
MEM 473.031250 1533433600.6769
MEM 512.214844 1533433600.7781
MEM 551.226562 1533433600.8799
MEM 586.574219 1533433600.9819
MEM 624.890625 1533433601.0871
MEM 658.433594 1533433601.1903
MEM 678.515625 1533433601.2905
MEM 663.738281 1533433601.3946
MEM 647.339844 1533433601.4957
MEM 672.523438 1533433601.5961
MEM 675.027344 1533433601.6966
MEM 670.734375 1533433601.8017
MEM 664.484375 1533433601.9068
MEM 718.730469 1533433602.0079
MEM 793.843750 1533433602.1085
MEM 620.609375 1533433602.2088
MEM 205.500000 1533433602.3091
